District,Month,Cases,Year
Matale,10,11,2009
Matara,10,33,2009
Monaragala,10,2,2009
Mullaitivu,10,0,2009
Nuwara Eliya,10,7,2009
Polonnaruwa,10,3,2009
Puttalam,10,11,2009
Ratnapura,10,39,2009
Trincomalee,10,0,2009
Vavuniya,10,0,2009
Ampara,11,0,2009
Anuradhapura,11,8,2009
Badulla,11,2,2009
Batticaloa,11,0,2009
Colombo,11,127,2009
Galle,11,16,2009
Gampaha,11,64,2009
Hambantota,11,12,2009
Jaffna,11,0,2009
Kalutara,11,91,2009
Kandy,11,27,2009
Kegalle,11,39,2009
Kilinochchi,11,0,2009
Kurunegala,11,25,2009
Mannar,11,0,2009
Matale,11,8,2009
Matara,11,38,2009
Monaragala,11,0,2009
Mullaitivu,11,0,2009
Nuwara Eliya,11,2,2009
Polonnaruwa,11,3,2009
Puttalam,11,4,2009
Ratnapura,11,29,2009
Trincomalee,11,2,2009
Vavuniya,11,1,2009
Ampara,12,2,2009
Anuradhapura,12,4,2009
Badulla,12,1,2009
Batticaloa,12,2,2009
Colombo,12,71,2009
Galle,12,43,2009
Gampaha,12,22,2009
Hambantota,12,14,2009
Jaffna,12,0,2009
Kalutara,12,40,2009
Kandy,12,16,2009
Kegalle,12,28,2009
Kilinochchi,12,0,2009
Kurunegala,12,33,2009
Mannar,12,0,2009
Matale,12,12,2009
Matara,12,19,2009
Monaragala,12,1,2009
Mullaitivu,12,0,2009
Nuwara Eliya,12,2,2009
Polonnaruwa,12,4,2009
Puttalam,12,6,2009
Ratnapura,12,18,2009
Trincomalee,12,2,2009
Vavuniya,12,1,2009
Ampara,1,11,2010
Anuradhapura,1,4,2010
Badulla,1,9,2010
Batticaloa,1,0,2010
Colombo,1,36,2010
Galle,1,1,2010
Gampaha,1,13,2010
Hambantota,1,9,2010
Jaffna,1,0,2010
Kalutara,1,20,2010
Kandy,1,9,2010
Kegalle,1,19,2010
Kilinochchi,1,0,2010
Kurunegala,1,11,2010
Mannar,1,0,2010
Matale,1,16,2010
Matara,1,11,2010
Monaragala,1,6,2010
Mullaitivu,1,0,2010
Nuwara Eliya,1,3,2010
Polonnaruwa,1,16,2010
Puttalam,1,6,2010
Ratnapura,1,39,2010
Trincomalee,1,6,2010
Vavuniya,1,0,2010
Ampara,2,4,2010
Anuradhapura,2,7,2010
Badulla,2,5,2010
Batticaloa,2,1,2010
Colombo,2,42,2010
Galle,2,2,2010
Gampaha,2,75,2010
Hambantota,2,9,2010
